
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230111,          ,KR ,A226757KRSEL        ,HANSAN COMPANY                                    ,THE BABCOCK & WILCOX COMPANY                      ,SHIP TO: CHANUTE MANUFACTURING COMPANY            ,BABCOCK & WILCOX COMPANY                          ,CHRCLE
20230111,          ,KR ,A226777KRSEL        ,INTERCOS KOREA INC.                               ,HAUS LABORATORIES                                 ,SAME AS ABOVE                                     ,HAUS LABS                                         ,CHRCHI
20230111,          ,KR ,A226782KRSEL        ,DAE HA ENTERPRISE                                 ,EBW ELECTRONICS                                   ,SAME AS CONSIGNEE                                 ,EBW ELECTRONICS  INC.                             ,CHRDTW
20230111,          ,US ,422396243CHI        ,UNITED AIRLINES CATERING- INTL                    ,LSG SKY CHEFS                                     ,LSG SKY CHEFS                                     ,                                                  ,CHRCHI
20230111,          ,KR ,A226786KRSEL        ,KOREA UNICOM VALVE CO.  LTD.                      ,SCORE ENERGY PRODUCTS INC.                        ,SAME AS CONSIGNEE                                 ,                                                  ,CHRYMQ
20230111,          ,KR ,A226785KRSEL        ,I-SENS INC.                                       ,BLUE OCEAN INNOVATION LTD                         ,SAME AS CONSIGNEE                                 ,                                                  ,CHRHKG
20230111,          ,KR ,A226787KRSEL        ,DAMOA ELECTRONICS CO .LTD                         ,TAIZHOU SUPERSTAR ELECTRONICS CO. LTD             ,SAME AS CONSIGNEE                                 ,                                                  ,PHXNKG
20230111,          ,KR ,A226788KRSEL        ,YUDO CO. LTD.                                     ,YUDO HOT RUNNER INDIA PVT. LTD.                   ,SAME AS CONSIGNEE                                 ,                                                  ,CHRMUM
20230111,          ,KR ,A226768KRSEL        ,ICOX                                              ,VILBO EDICIONES Y PUBLICIDAD S.L                  ,SAME AS CONSIGNEE                                 ,                                                  ,ASP004
20230111,          ,US ,422369280LAX        ,FUJIFILM PLANAR SOLUTIONS LLC                     ,FUJIFILM ELECTRONIC MATERIALS                     ,FUJIFILM ELECTRONIC MATERIALS                     ,                                                  ,CHRLAX
