
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230112,          ,KR ,A226739KRSEL        ,TERADYNE KOREA LTD.                               ,TERADYNE PHILIPPINES LTD.                         ,SAME AS CONSIGNEE                                 ,TERADYNE KOREA                                    ,PHXK
20230112,          ,KR ,A226759KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230112,          ,KR ,A226761KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230112,          ,KR ,A226781KRSEL        ,EUNIL CO.  LTD.                                   ,TERADYNE INC                                      ,DELIVER TO: IPC APEX EXPO                         ,TERADYNE INC                                      ,CHRNYC
20230112,          ,KR ,A226794KRSEL        ,RADIC8 PTE LIMITED                                ,HENRY SCHEIN CORPORATE OFFICE USA                 ,SAME AS CONSIGNEE                                 ,HENRY SCHEIN                                      ,CHRNYC
20230112,          ,KR ,A226783KRSEL        ,INTERCOS KOREA INC.                               ,HAUS LABORATORIES                                 ,SAME AS ABOVE                                     ,HAUS LABS                                         ,CHRCHI
20230112,          ,KR ,A226771KRSEL        ,DIADENT GROUP INTERNATIONAL                       ,CEZAR HEALTH                                      ,SAME AS CONSIGNEE                                 ,                                                  ,RTC001
20230112,          ,SG ,422877625SIN        ,PERKINELMER SINGAPORE PTE LTD                     ,PERKINELMER KOREA LTD CO                          ,PERKINELMER KOREA LTD CO                          ,                                                  ,PHXSIN
20230112,          ,SG ,423028406SIN        ,PERKINELMER SINGAPORE PTE LTD                     ,PERKINELMER KOREA LTD CO                          ,PERKINELMER KOREA LTD CO                          ,                                                  ,PHXSIN
20230112,          ,US ,422393719DEN        ,LANDSBERG                                         ,COORSTEK  INC.                                    ,COORSTEK  INC.                                    ,                                                  ,
