
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230111,ONE WREN                 ,KR ,SEL2301110          ,NAM JUN CO. LTD                                   ,TN WEBBING PRODUCTS COMPANY                       ,SAME AS CONSIGNEE                                 ,NAM JUN CO. LTD.                                  ,CHRDKX
20230111,YM TARGET                ,KR ,SEL2301012          ,T & G CORPORATION                                 ,KWIK TICKET INC.                                  ,SEWING COLLECTION                                 ,T AND G CORPORATION                               ,CHRNYC
20230111,YM TARGET                ,KR ,SEL2301109          ,BU KWANG TEXTILE CO.  LTD.                        ,TIEDEMANN-BEVS INDUSTRIES                         ,C.H. ROBINSON INTERNATIONAL INC.                  ,BU KWANG TEXTILE CO.  LTD.                        ,CHRIND
20230111,ONE WREN                 ,KR ,SEL2301081          ,HCT PACKAGING  INC                                ,ACCUPAC INC.                                      ,ACCUPAC INC.                                      ,PUM-TECH KOREA CO.  LTD.                          ,CHRDKX
20230111,ONE WREN                 ,KR ,SEL2301015          ,HANCHANG PAPER CO.  LTD.                          ,ECO-PRODUCTS INC.                                 ,ECO-PRODUCTS INC.                                 ,HANCHANG PAPER CO. LTD.                           ,CHRCLT
20230111,YM TARGET                ,KR ,SEL2301108          ,PLUS INDUSTRIES INC.                              ,TRIMACO  INC                                      ,TRIMACO  INC                                      ,PLUS INDUSTRIES INC.                              ,CHRCLT
20230111,ONE WREN                 ,KR ,SEL2301031          ,HRS CO.  LTD.                                     ,SAINT GOBAIN PPL CORP                             ,C.H. ROBINSON                                     ,HRS CO.  LTD.                                     ,CHRBOS
20230111,ONE WREN                 ,KR ,SEL2301032          ,FLEXIA INC.                                       ,GENERAC POWER SYSTEMS  INC.                       ,SAME AS CONSIGNEE                                 ,FLEXIA INC.                                       ,CHRCHI
20230111,ONE WREN                 ,KR ,SEL2301033          ,KUNHWA CO.  LTD.                                  ,HPS  INC.                                         ,SAME AS CONSIGNEE                                 ,KUNHWA CO.  LTD.                                  ,CHRCHI
20230111,ONE WREN                 ,KR ,SEL2301034          ,DONALDSON KOREA CO. LTD                           ,DONALDSON CO INC                                  ,DONALDSON CO INC                                  ,DONALDSON KOREA CO. LTD                           ,CHRCHI
20230111,ONE WREN                 ,KR ,SEL2301035.         ,AUTO CFT CO. LTD                                  ,HK SIMPLE LIMITED                                 ,SAME AS ABOVE                                     ,AUTO CFT CO. LTD                                  ,CHRCLT
20230111,ONE WREN                 ,KR ,SEL2301035          ,HK SIMPLE LIMITED                                 ,KEWAUNEE SCIENTIFIC CORPORATION                   ,NIPPON EXPRESS USA  INC.                          ,AUTO CFT CO. LTD                                  ,CHRCLT
20230111,ONE WREN                 ,KR ,SEL2301013          ,KYUNG SHIN I-TECH COMPANY                         ,S.K.M. INDUSTRIES  INC.                           ,-SAME AS ABOVE-                                   ,KYUNG SHIN I-TECH COMPANY                         ,CHRNYC
20230111,YM TRILLION              ,KR ,SEL2301146          ,NEXEN TIRE CORPORATION                            ,NATIONAL TIRE DISTRIBUTORS INC                    ,1) 852-MISSISSAUGA                                ,CN LOGISTICS KOREA CO. LTD                        ,CHRYMQ
20230111,ONE WREN                 ,KR ,SEL2301059          ,LG ENERGY SOLUTIONS                               ,BRIGGS & STRATTON  LLC                            ,JAS FORWARDING (USA)  INC                         ,KAWASAKI KISEN KAISHA. LTD.                       ,CHRCHI
20230111,NAVIGARE COLLECTOR       ,KR ,SEL2301579          ,PMC BIOGENIX (KOREA) LTD.                         ,MATHIESEN PERU S.A.C.                             ,MATHIESEN PERU S.A.C.                             ,                                                  ,CHRPER
20230111,NEW GOLDEN BRIDGE V      ,CH ,422582195SZN        ,SHENZHEN STARVIER CIRCUIT CO.  LTD                ,PAC RIM CORPORATION                               ,PAC RIM CORPORATION                               ,PAC RIM CORPORATION                               ,PHXSZX
20230111,YM TARGET                ,KR ,SEL2301089          ,HWASEUNG CORPORATION CO. LTD.                     ,TO THE ORDER OF SHIPPER                           ,1) KURIYAMA OF AMERICA                            ,HWASEUNG CORPORATION CO. LTD.                     ,CHRCHI
20230111,YM TARGET                ,KR ,SEL2301086          ,SIDIZ INC                                         ,KI                                                ,KI DISTRIBUTION CENTER                            ,UNICO NETWORK                                     ,CHRCHI
20230111,ONE WREN                 ,KR ,SEL2301011          ,KYUNG SHIN POLYWELL COMPANY                       ,O.BERK COMPANY L.L.C                              ,SAME AS CONSIGNEE                                 ,KYUNG SHIN POLYWELL COMPANY                       ,CHRNYC
20230111,YM TARGET                ,KR ,SEL2212143          ,MAXFLEX CORPORATION.                              ,TRELLTEX  INC. DBA TEXCEL                         ,SAME AS CONSIGNEE                                 ,MAXFLEX CORPORATION.                              ,CHRHOU
20230111,YM TARGET                ,KR ,SEL2301087          ,DSE  INC.                                         ,BUD INDUSTRIES INC.                               ,SAME AS CONSIGNEE                                 ,DSE  INC.                                         ,CHRCHS
20230111,NAVIGARE COLLECTOR       ,KR ,SEL2301555          ,HWASHIN BOLT IND. CO.  LTD.                       ,XLP - SAN LUIS AVENIDA                            ,SAME AS CONSIGNEE                                 ,HWASHIN BOLT IND. CO.  LTD.                       ,CHRGRC
20230111,ZIM AUSTRALIA            ,KR ,SEL2301566          ,HYUNDAI CONSTRUCTION EQUIPMENT CO.  LTD.          ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCBRI
20230111,YM TARGET                ,KR ,SEL2301044          ,SEOUL CORPORATION                                 ,DAVE WHITE`S SITEPRO LLC.                         ,SAME AS ABOVE                                     ,SEOUL CORPORATION                                 ,CHRCHI
20230111,NAVIGARE COLLECTOR       ,KR ,SEL2301572          ,MYUNGSUNG TECHNOLOGY CO.  LTD.                    ,ADIENT DERRAMADERO                                ,SAME AS CONSIGNEE                                 ,MYUNGSUNG TECHNOLOGY CO.  LTD.                    ,CHRMEX
20230111,AL JASRAH                ,KR ,SEL2301593.         ,DASCO CO. LTD                                     ,IHI ROTATING MACHINERY ENGINEERING CO.  LTD       ,SAME AS CONSIGNEE                                 ,DASCO CO. LTD                                     ,SAG015
20230111,AL JASRAH                ,KR ,SEL2301593          ,IHI ROTATING MACHINERY ENGINEERING CO.  LTD       ,TERNA S.A.                                        ,SAME AS CONSIGNEE                                 ,                                                  ,SAG015
20230111,WAN HAI 225              ,KR ,SEL2301576          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB18                 ,TAIWAN SEMICON MANUFAC CORP FAB18                 ,EDWARDS KOREA                                     ,PHXTWN
20230111,HMM PROMISE              ,KR ,SEL2301580          ,PILLIP INDUSTRIAL CO.  LTD.                       ,ENVIRON SKIN CARE CC.                             ,SAME AS CONSIGNEE                                 ,PILLIP INDUSTRIAL CO.  LTD.                       ,MEGA01
20230111,AL JASRAH                ,KR ,SEL2301591          ,TK CHEMICAL CORP.                                 ,FEGA POLYMERS PC                                  ,EVANTHIA MITROPOULOU                              ,TK CHEMICAL CORP.                                 ,SAG015
20230111,CMA CGM LIBERTY          ,KR ,SEL1478676          ,KYUNGSHIN CORPORATION                             ,LEAR CORPORATION                                  ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,
20230111,YM TRILLION              ,KR ,SEL2301150          ,SUNG IL CO. LTD                                   ,MASONITE INTERNATIONAL CORP                       ,GHY INTERNATIONAL                                 ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230111,YM TRILLION              ,KR ,SEL2301151          ,SUNG IL CO. LTD                                   ,MASONITE INTERNATIONAL CORP                       ,GHY INTERNATIONAL                                 ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230111,NAVIGARE COLLECTOR       ,KR ,SEL2301556          ,CENTURY DISTRIBUTION SYSTEM INC.                  ,AUTO MASTER S.A.                                  ,AUTO MASTER S.A.                                  ,KAWASAKI KISEN KAISHA. LTD.                       ,ILGNIC
20230111,AL JASRAH                ,KR ,SEL2301584          ,GSM CO. LTD                                       ,TERNA S.A.                                        ,TERNA PROCUREMENT DEPARTMENT                      ,GSM CO. LTD                                       ,SAG015
20230111,LING YUN HE              ,CN ,421054827DLC        ,CENTRO CORPORATION                                ,LAKER FISHING TACKLE CO                           ,WRIGHT & MCGILL COMPANY                           ,CENTRO CORPORATION                                ,CHRSTL
