
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230110,          ,KR ,A226778KRSEL        ,P&K ENG CO.  LTD.                                 ,MAX-AIR TECHNOLOGY  INC.                          ,SAME AS CONSIGNEE                                 ,MAX-AIR TECHNOLOGY INC.                           ,CHRSTL
20230110,          ,US ,WJIA100045          ,BRADY CORP                                        ,CHUNGHAE INDUSTRY                                 ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230110,          ,US ,WJIA100046          ,BRADY CORP                                        ,FOCUS SYSTEMS                                     ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230110,          ,US ,421437774MSP        ,HB FULLER COMPANY                                 ,HB FULLER KOREA CO  LTD                           ,HB FULLER KOREA CO  LTD                           ,                                                  ,CHRMSP
20230110,          ,US ,422355916CHI        ,FOAM-iT                                           ,ECOLAB KOREA LTD                                  ,ECOLAB KOREA LTD                                  ,                                                  ,CHRCHI
20230110,          ,US ,WJIA100036          ,BRADY CORP                                        ,JKC INC                                           ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230110,          ,US ,WJIA100043          ,BRADY CORP                                        ,3I COMMUNICATION                                  ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230110,          ,US ,WJIA100044          ,BRADY CORP                                        ,BSM INDUSTRY                                      ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230110,          ,US ,422031720STL        ,SKF USA INC                                       ,SKF KOREA LTD.                                    ,SKF KOREA LTD.                                    ,                                                  ,CHRSTL
20230110,          ,PH ,195852-1            ,TERADYNE PHILIPPINES LTD.                         ,CORE SOLUTION TECH                                ,CORE SOLUTION TECH                                ,                                                  ,
20230110,          ,US ,422393719DEN        ,LANDSBERG                                         ,COORSTEK  INC.                                    ,COORSTEK  INC.                                    ,                                                  ,
