
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230108,ONE WREN                 ,KR ,SEL2301110          ,NAM JUN CO. LTD                                   ,TN WEBBING PRODUCTS COMPANY                       ,SAME AS CONSIGNEE                                 ,NAM JUN CO. LTD.                                  ,CHRDKX
20230108,GERDA MAERSK             ,KR ,SEL2301111          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS  LLC                                      ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230108,GERDA MAERSK             ,KR ,SEL2301113          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS  LLC                                      ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230108,ONE WREN                 ,KR ,SEL2301015          ,HANCHANG PAPER CO.  LTD.                          ,ECO-PRODUCTS INC.                                 ,ECO-PRODUCTS INC.                                 ,HANCHANG PAPER CO. LTD.                           ,CHRCLT
20230108,GERDA MAERSK             ,KR ,SEL2301112          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS                                           ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230108,ONE WREN                 ,KR ,SEL2301013          ,KYUNG SHIN I-TECH COMPANY                         ,S.K.M. INDUSTRIES  INC.                           ,-SAME AS ABOVE-                                   ,KYUNG SHIN I-TECH COMPANY                         ,CHRNYC
20230108,YM TRILLION              ,KR ,SEL2301146          ,NEXEN TIRE CORPORATION                            ,NATIONAL TIRE DISTRIBUTORS INC                    ,1) 852-MISSISSAUGA                                ,CN LOGISTICS KOREA CO. LTD                        ,CHRYMQ
20230108,CMA CGM GALAPAGOS        ,KR ,SEL2301520          ,FUKOKU KOREA CO.  LTD.(CQAHK)                     ,ESPACK EUROLOGISTICA SL:                          ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,ASP004
20230108,ONE WREN                 ,KR ,SEL2301059          ,LG ENERGY SOLUTIONS                               ,BRIGGS & STRATTON  LLC                            ,JAS FORWARDING (USA)  INC                         ,KAWASAKI KISEN KAISHA. LTD.                       ,CHRCHI
20230108,NAVIGARE COLLECTOR       ,KR ,SEL2301579          ,PMC BIOGENIX (KOREA) LTD.                         ,MATHIESEN PERU S.A.C.                             ,MATHIESEN PERU S.A.C.                             ,                                                  ,CHRPER
20230108,ONE WREN                 ,KR ,SEL2301011          ,KYUNG SHIN POLYWELL COMPANY                       ,O.BERK COMPANY L.L.C                              ,SAME AS CONSIGNEE                                 ,KYUNG SHIN POLYWELL COMPANY                       ,CHRNYC
20230108,SAWASDEE SUNRISE         ,KR ,SEL2212654          ,SEMYUNG INDUSTRIAL  CO.  LTD                      ,DANA SPICER (THAILAND) LTD.                       ,SAME AS CONSIGNEE                                 ,SEMYUNG INDUSTRIAL. CO.  LTD.                     ,PHXBKK
20230108,ONE TRUTH                ,KR ,SEL2301568          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL-MOGUL OPERATIONS FRANCE SAS               ,FEDERAL-MOGUL OPERATIONS FRANCE - ORLEANS         ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,PHXPAR
20230108,CMA CGM CONCORDE         ,KR ,SEL2301530          ,DAEHAN MEDICAL SYSTEMS CO.  LTD                   ,NISSHA MEDICAL TECHNOLOGIES SAS                   ,SAME AS CONSIGNEE                                 ,DAEHAN MEDICAL SYSTEMS CO.  LTD                   ,PHXPAR
20230108,MSC SHUBA B              ,KR ,SEL2301559          ,SANGDO INTERNATIONAL                              ,MALLEO EQUIPMENT PTY LTD                          ,SAME AS CONSIGNEE                                 ,SANGDO INTERNATIONAL                              ,MEGA04
20230108,MSC SHUBA B              ,KR ,SEL2301560          ,SANGDO INTERNATIONAL                              ,MALLEO EQUIPMENT PTY LTD                          ,SAME AS CONSIGNEE                                 ,SANGDO INTERNATIONAL                              ,MEGA04
20230108,WAN HAI 263              ,KR ,SEL2301561          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,EDWARDS KOREA                                     ,PHXTWN
20230108,MSC SHUBA B              ,KR ,SEL2301570          ,NUNGWON METAL IND. CO.  LTD.                      ,L&M RADIATOR PTY LTD                              ,SAME AS CONSIGNEE                                 ,NUNGWON METAL IND. CO.  LTD.                      ,APCNEW
20230108,NAVIGARE COLLECTOR       ,KR ,SEL2301572          ,MYUNGSUNG TECHNOLOGY CO.  LTD.                    ,ADIENT DERRAMADERO                                ,SAME AS CONSIGNEE                                 ,MYUNGSUNG TECHNOLOGY CO.  LTD.                    ,CHRMEX
20230108,HANSA DUBURG             ,KR ,SEL2301585          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB12P8               ,TAIWAN SEMICON MANUFAC CORP FAB12P8               ,EDWARDS KOREA                                     ,PHXTWN
20230108,HANSA DUBURG             ,KR ,SEL2301587          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB15                 ,TAIWAN SEMICON MANUFAC CORP FAB15                 ,EDWARDS KOREA                                     ,PHXTWN
20230108,HANSA DUBURG             ,KR ,SEL2301586          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB18P5               ,TAIWAN SEMICON MANUFAC CORP FAB18P5               ,EDWARDS KOREA                                     ,PHXTWN
20230108,YM TRILLION              ,KR ,SEL2301150          ,SUNG IL CO. LTD                                   ,MASONITE INTERNATIONAL CORP                       ,GHY INTERNATIONAL                                 ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230108,YM TRILLION              ,KR ,SEL2301151          ,SUNG IL CO. LTD                                   ,MASONITE INTERNATIONAL CORP                       ,GHY INTERNATIONAL                                 ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230108,CMA CGM CONCORDE         ,KR ,SEL2301558          ,MAXFLEX CORPORATION.                              ,POWELL INDUSTRIAL PTY LTD.                        ,SAME AS CONSIGNEE                                 ,MAXFLEX CORPORATION.                              ,APCBRI
