
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230120,MAERSK GARONNE           ,KR ,SEL2301646          ,KIC CO.  LTD.                                     ,RLB PACKAGING (CHRISTCHURCH BRANCH)               ,SAME AS CONSIGNEE                                 ,KIC CO.  LTD.                                     ,APCNZ
20230120,PANCON HARMONY           ,CN ,423307823HKG        ,THERM-O-DISC(ASIA)                                ,NAMSUN ALUMINUM CO.  LTD. AUTOMOTIVE PARTS        ,NAMSUN ALUMINUM CO.  LTD. AUTOMOTIVE PARTS        ,NAMSUN ALUMINUM CO.  LTD.                         ,CHRHKG
20230120,BF CARP                  ,CN ,424004735HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230120,MAERSK GARONNE           ,KR ,SEL2301644          ,DAESAN MATERIALS COMPANY LIMITED                  ,PORTER PARTS                                      ,SAME AS CONSIGNEE                                 ,DAESAN MATERIALS COMPANY LIMITED                  ,APCNZ
20230120,COSCO AUCKLAND           ,VN ,423609607HCM        ,H & L APPAREL (VIETNAM) CO.  LTD.                 ,WELLS FARGO BANK ON BEHALF OF OUTERSTUFF LLC.     ,OUTERSTUFF LLC.                                   ,H&L CORPORATION                                   ,CHRNYC
20230120,COSCO SPAIN              ,VN ,423441624HCM        ,H & L APPAREL (VIETNAM) CO.  LTD.                 ,WELLS FARGO BANK ON BEHALF OF OUTERSTUFF LLC.     ,OUTERSTUFF LLC.                                   ,H&L CORPORATION                                   ,CHRNYC
20230120,COSCO SHIPPING           ,CH ,422442028TAO        ,YG-1 CO.  LTD.                                    ,G-ELIT PRAZISIONSWERKZEUGE GMBH                   ,G-ELIT PRAZISIONSWERKZEUG GMBH                    ,YG-1 CO.  LTD.                                    ,CHRTUT
20230120,ASIATIC PRIDE            ,KR ,SEL2301603          ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,SAME AS CONSIGNEE                                 ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCSYD
20230120,BAL BRIGHT               ,CN ,422589639PVG        ,HYDRATIGHT FZE                                    ,ACTUANT KOREA LTD                                 ,ACTUANT KOREA LTD                                 ,ACTUANT KOREA LTD                                 ,PHXSHA
20230120,BAL BRIGHT               ,CN ,423169919PVG        ,MOTECK ELECTRIC CORP.                             ,MOTECK KOREA                                      ,MOTECK KOREA                                      ,MOTECK KOREA                                      ,PHXSHA
20230120,XIN MING ZHOU 20         ,CN ,423032886NGB        ,NINGBO DONGKUN MACHINERY TECHNOLOGY CO LTD        ,CHUNIL ENGINEERING CO. LTD                        ,CHUNIL ENGINEERING CO. LTD                        ,CHUNIL ENGINEERING CO. LTD                        ,PHXNGB
